college,topic,count,URL,TopicForAuthors,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
College of Education,urban elementary education,1,https:\/\/pages.charlotte.edu\/connections\/links\/urban-elementary-education\/,urban elementary education,Stephen Hancock,https://pages.charlotte.edu/connections/people/sdhancoc/,,,,
College of Education,in-service teachers design,1,https:\/\/pages.charlotte.edu\/connections\/links\/in-service-teachers-design\/,in-service teachers design,Andrew Polly,https://pages.charlotte.edu/connections/people/abpolly/,,,,
College of Education,white women teachers in urban elementary education,1,https:\/\/pages.charlotte.edu\/connections\/links\/white-women-teachers-in-urban-elementary-education\/,white women teachers in urban elementary education,Stephen Hancock,https://pages.charlotte.edu/connections/people/sdhancoc/,,,,
College of Education,discourse analysis,1,https:\/\/pages.charlotte.edu\/connections\/links\/discourse-analysis\/,discourse analysis,Javier Garcia Leon,https://pages.charlotte.edu/connections/people/jgarci53/,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,Ashlyn Walden,https://pages.charlotte.edu/connections/people/ashlyn-walden/
College of Education,discourse theory,1,https:\/\/pages.charlotte.edu\/connections\/links\/discourse-theory\/,discourse theory,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,,,,
College of Education,k-12 literacy,1,https:\/\/pages.charlotte.edu\/connections\/links\/k-12-literacy\/,k-12 literacy,Robert Rickelman,https://pages.charlotte.edu/connections/people/rjrickel/,Beth Murray,https://pages.charlotte.edu/connections/people/emurra17/,,
College of Education,content area writing,1,https:\/\/pages.charlotte.edu\/connections\/links\/content-area-writing\/,content area writing,Robert Rickelman,https://pages.charlotte.edu/connections/people/rjrickel/,,,,
College of Education,content area reading,1,https:\/\/pages.charlotte.edu\/connections\/links\/content-area-reading\/,content area reading,Robert Rickelman,https://pages.charlotte.edu/connections/people/rjrickel/,,,,
College of Education,k-12 technology,1,https:\/\/pages.charlotte.edu\/connections\/links\/k-12-technology\/,k-12 technology,Susan Oyarzun,https://pages.charlotte.edu/connections/people/seallred/,Robert Rickelman,https://pages.charlotte.edu/connections/people/rjrickel/,,
College of Education,reading strategies,1,https:\/\/pages.charlotte.edu\/connections\/links\/reading-strategies\/,reading strategies,Robert Rickelman,https://pages.charlotte.edu/connections/people/rjrickel/,,,,
College of Education,writing strategies,1,https:\/\/pages.charlotte.edu\/connections\/links\/writing-strategies\/,writing strategies,Robert Rickelman,https://pages.charlotte.edu/connections/people/rjrickel/,,,,
College of Education,teaching reading,1,https:\/\/pages.charlotte.edu\/connections\/links\/teaching-reading\/,teaching reading,Robert Rickelman,https://pages.charlotte.edu/connections/people/rjrickel/,,,,
College of Education,balanced literacy program,1,https:\/\/pages.charlotte.edu\/connections\/links\/balanced-literacy-program\/,balanced literacy program,Robert Rickelman,https://pages.charlotte.edu/connections/people/rjrickel/,,,,
College of Education,teacher professional development inquiry methods of teacher professional development,1,https:\/\/pages.charlotte.edu\/connections\/links\/teacher-professional-development-inquiry-methods-of-teacher-professional-development\/,teacher professional development inquiry methods of teacher professional development,Tracy Rock,https://pages.charlotte.edu/connections/people/tcrock/,,,,
College of Education,multiliteracies in education,1,https:\/\/pages.charlotte.edu\/connections\/links\/multiliteracies-in-education\/,multiliteracies in education,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,,,,
College of Education,multiliteracies,1,https:\/\/pages.charlotte.edu\/connections\/links\/multiliteracies\/,multiliteracies,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,,,,
College of Education,literacy learning,1,https:\/\/pages.charlotte.edu\/connections\/links\/literacy-learning\/,literacy learning,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,,,,
College of Education,sociocultural aspects of language,1,https:\/\/pages.charlotte.edu\/connections\/links\/sociocultural-aspects-of-language\/,sociocultural aspects of language,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,,,,
College of Education,sociocultural aspects of literacy,1,https:\/\/pages.charlotte.edu\/connections\/links\/sociocultural-aspects-of-literacy\/,sociocultural aspects of literacy,David Taylor,https://pages.charlotte.edu/connections/people/dbtaylor/,,,,
College of Education,service learning,1,https:\/\/pages.charlotte.edu\/connections\/links\/service-learning\/,service learning,Tracy Rock,https://pages.charlotte.edu/connections/people/tcrock/,,,,
College of Education,elementary social studies education,1,https:\/\/pages.charlotte.edu\/connections\/links\/elementary-social-studies-education\/,elementary social studies education,Tracy Rock,https://pages.charlotte.edu/connections/people/tcrock/,,,,
College of Education,writing products the social nature of learning,1,https:\/\/pages.charlotte.edu\/connections\/links\/writing-products-the-social-nature-of-learning\/,writing products the social nature of learning,,,,,,
College of Education,writing processes,1,https:\/\/pages.charlotte.edu\/connections\/links\/writing-processes\/,writing processes,,,,,,
College of Education,teacher practice,1,https:\/\/pages.charlotte.edu\/connections\/links\/teacher-practice\/,teacher practice,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,teacher knowledge,1,https:\/\/pages.charlotte.edu\/connections\/links\/teacher-knowledge\/,teacher knowledge,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,teacher improvement,1,https:\/\/pages.charlotte.edu\/connections\/links\/teacher-improvement\/,teacher improvement,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,teacher-student interactions,1,https:\/\/pages.charlotte.edu\/connections\/links\/teacher-student-interactions\/,teacher-student interactions,Anne Cash,https://pages.charlotte.edu/connections/people/acash7/,,,,
College of Education,distance education instructional approaches,1,https:\/\/pages.charlotte.edu\/connections\/links\/distance-education-instructional-approaches\/,distance education instructional approaches,Susan Oyarzun,https://pages.charlotte.edu/connections/people/seallred/,,,,
College of Education,school to adult life transition,1,https:\/\/pages.charlotte.edu\/connections\/links\/school-to-adult-life-transition\/,school to adult life transition,,,,,,
College of Education,distance education technologies,1,https:\/\/pages.charlotte.edu\/connections\/links\/distance-education-technologies\/,distance education technologies,,,,,,
